Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
38,2,5,5,0
16,1,-13,0,0
12,0,-9,0,0
3,0,-8,0,0
3,0,2,2,0
1,0,-32,0,0
16,1,5,5,0
-2,-1,-10,0,0
1,0,30,30,1
9,0,-8,0,0
45,3,103,103,1
81,5,53,53,1
-2,-1,-15,0,0
-2,-1,-11,0,0
8,0,-9,0,0
-4,-1,-21,0,0
-6,-1,-25,0,0
-1,-1,13,13,0
2,0,66,66,1
-7,-1,-12,0,0
-3,-1,-23,0,0
-1,-1,-11,0,0
-7,-1,-25,0,0
-9,-1,-37,0,0
-8,-1,22,22,1
-5,-1,-30,0,0
-5,-1,-31,0,0
-6,-1,-12,0,0
5,0,8,8,0
-3,-1,-6,0,0
-1,-1,15,15,1
-3,-1,4,4,0
-5,-1,-10,0,0
-4,-1,-7,0,0
-4,-1,-2,0,0
-11,-1,-16,0,0
-7,-1,-26,0,0
-6,-1,-24,0,0
-5,-1,-12,0,0
-7,-1,-35,0,0
1,0,-2,0,0
16,1,13,13,0
1,0,7,7,0
33,2,18,18,1
74,4,57,57,1
33,2,40,40,1
104,6,102,102,1
1,0,6,6,0
-6,-1,-4,0,0
-5,-1,-5,0,0
26,1,16,16,1
-9,-1,-6,0,0
-4,-1,-1,0,0
51,3,48,48,1
-10,-1,2,2,0
-3,-1,-5,0,0
18,1,53,53,1
-1,-1,-5,0,0
-1,-1,-15,0,0
-2,-1,-25,0,0
102,6,86,86,1
0,0,6,6,0
-6,-1,-20,0,0
-3,-1,-2,0,0
-2,-1,19,19,1
48,3,34,34,1
67,4,48,48,1
18,1,-9,0,0
-4,-1,-13,0,0
-3,-1,-22,0,0
5,0,-10,0,0
7,0,-4,0,0
17,1,1,1,0
26,1,18,18,1
-2,-1,-9,0,0
1,0,-14,0,0
178,11,162,162,1
17,1,66,66,1
80,5,73,73,1
-2,-1,-4,0,0
4,0,-14,0,0
72,4,55,55,1
-8,-1,3,3,0
-6,-1,-7,0,0
-6,-1,-10,0,0
-2,-1,13,13,0
9,0,13,13,0
92,6,118,118,1
58,3,34,34,1
-8,-1,-23,0,0
30,2,2,2,0
-9,-1,-29,0,0
10,0,-3,0,0
-1,-1,1,1,0
-8,-1,-23,0,0
70,4,60,60,1
9,0,2,2,0
-4,-1,51,51,1
0,0,-25,0,0
6,0,0,0,0
-8,-1,-14,0,0
25,1,2,2,0
-1,-1,-3,0,0
32,2,6,6,0
